[UDP] SrcIP=172.16.1.202, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[UDP] SrcIP=172.16.1.202, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[TCP] SrcIP=172.66.43.71, SrcPort=443, DstIP=172.16.1.190, DstPort=51276, Protocol=TCP
[TCP] SrcIP=172.16.1.190, SrcPort=51276, DstIP=172.66.43.71, DstPort=443, Protocol=TCP
[UDP] SrcIP=172.16.1.202, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[TCP] SrcIP=104.18.39.21, SrcPort=443, DstIP=172.16.1.190, DstPort=39564, Protocol=TCP
[TCP] SrcIP=172.16.1.190, SrcPort=39564, DstIP=104.18.39.21, DstPort=443, Protocol=TCP
[TCP] SrcIP=104.18.39.21, SrcPort=443, DstIP=172.16.1.190, DstPort=39564, Protocol=TCP
[UDP] SrcIP=172.16.1.202, SrcPort=49325, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[UDP] SrcIP=172.16.0.103, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[TCP] SrcIP=172.66.43.71, SrcPort=443, DstIP=172.16.1.190, DstPort=51276, Protocol=TCP
[TCP] SrcIP=172.16.1.190, SrcPort=51276, DstIP=172.66.43.71, DstPort=443, Protocol=TCP
[UDP] SrcIP=172.16.0.103, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[TCP] SrcIP=140.82.114.25, SrcPort=443, DstIP=172.16.1.190, DstPort=47218, Protocol=TCP
[TCP] SrcIP=172.16.1.190, SrcPort=47218, DstIP=140.82.114.25, DstPort=443, Protocol=TCP
[UDP] SrcIP=172.16.2.79, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[UDP] SrcIP=172.16.2.79, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[UDP] SrcIP=172.16.2.79, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[TCP] SrcIP=172.66.43.71, SrcPort=443, DstIP=172.16.1.190, DstPort=51276, Protocol=TCP
[TCP] SrcIP=172.16.1.190, SrcPort=51276, DstIP=172.66.43.71, DstPort=443, Protocol=TCP
[UDP] SrcIP=172.16.2.79, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[UDP] SrcIP=172.16.1.202, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[TCP] SrcIP=172.66.43.71, SrcPort=443, DstIP=172.16.1.190, DstPort=51276, Protocol=TCP
[TCP] SrcIP=172.16.1.190, SrcPort=51276, DstIP=172.66.43.71, DstPort=443, Protocol=TCP
[UDP] SrcIP=172.16.1.202, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[TCP] SrcIP=104.18.39.21, SrcPort=443, DstIP=172.16.1.190, DstPort=39564, Protocol=TCP
[TCP] SrcIP=172.16.1.190, SrcPort=39564, DstIP=104.18.39.21, DstPort=443, Protocol=TCP
[TCP] SrcIP=104.18.39.21, SrcPort=443, DstIP=172.16.1.190, DstPort=39564, Protocol=TCP
[UDP] SrcIP=172.16.1.202, SrcPort=49325, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[UDP] SrcIP=172.16.1.202, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[UDP] SrcIP=172.16.1.214, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[TCP] SrcIP=172.66.43.71, SrcPort=443, DstIP=172.16.1.190, DstPort=51276, Protocol=TCP
[TCP] SrcIP=172.16.1.190, SrcPort=51276, DstIP=172.66.43.71, DstPort=443, Protocol=TCP
[UDP] SrcIP=172.16.2.108, SrcPort=5353, DstIP=224.0.0.251, DstPort=5353, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=38301, DstIP=8.8.8.8, DstPort=53, Protocol=UDP
[DNS] ID=0x3f06, QR=0, Opcode=0, AA=0, TC=0, RD=1, RA=0, Z=0, RCODE=0, QDCOUNT=1, ANCOUNT=0, NSCOUNT=0, ARCOUNT=1, Query=www.google.com, Type=1, Class=1
[UDP] SrcIP=172.16.1.190, SrcPort=51146, DstIP=8.8.8.8, DstPort=53, Protocol=UDP
